LatWRONGFORMAT,Lat,LongWRONGFORMAT,Long,Elevation (mASL),Habitat,Species
28¡ 51' 9.6,-28.85267, 152¡ 02' 24.4,152.0401,187,Heath,Trachymene incisa
28¡ 51' 9.6,-28.85267, 152¡ 02' 24.4,152.0401,187,Heath,Coronidium boormanii
28¡ 51' 9.6,-28.85267, 152¡ 02' 24.4,152.0401,187,Heath,Muehlenbeckia M. sp Mt Norman
28¡ 51' 9.6,-28.85267, 152¡ 02' 24.4,152.0401,187,Heath,Plectranthus suaveolens
28¡ 51' 9.6,-28.85267, 152¡ 02' 24.4,152.0401,187,Heath,Pomax umbellata
34¡ 6' 49.68,-34.1138, 151¡ 03' 59.04,151.0664,187,Dry Sclerophyll Forest,Leptospermum polygafolium
34¡ 6' 49.68,-34.1138, 151¡ 03' 59.04,151.0664,187,Dry Sclerophyll Forest,Acacia ulicifolia
34¡ 6' 49.68,-34.1138, 151¡ 03' 59.04,151.0664,187,Dry Sclerophyll Forest,Hakea dactyloides
34¡ 6' 49.68,-34.1138, 151¡ 03' 59.04,151.0664,187,Dry Sclerophyll Forest,Hakea sericea
34¡ 5' 43.3824,-34.09538, 151¡ 09' 36.36,151.1601,187,Heath,Leptospermum juniperinum
34¡ 5' 43.3824,-34.09538, 151¡ 09' 36.36,151.1601,187,Heath,Leptospermum laevigatum
34¡ 5' 43.3824,-34.09538, 151¡ 09' 36.36,151.1601,187,Heath,Allocasuarina littoralis
34¡ 5' 43.3824,-34.09538, 151¡ 09' 36.36,151.1601,187,Heath,Epacris microphylla
34¡ 5' 43.3824,-34.09538, 151¡ 09' 36.36,151.1601,187,Heath,Banksia serrata
34¡ 3' 57.114,-34.06586, 150¡ 46' 8.4396,150.769,187,Eucalypt Woodland,Einadia nutans
34¡ 3' 57.114,-34.06586, 150¡ 46' 8.4396,150.769,187,Eucalypt Woodland,Bursaria spinosa
34¡ 3' 57.114,-34.06586, 150¡ 46' 8.4396,150.769,187,Eucalypt Woodland,Plectranthus parviflorus
34¡ 3' 57.114,-34.06586, 150¡ 46' 8.4396,150.769,187,Eucalypt Woodland,Rhodanthe anthemoides
34¡ 3' 57.114,-34.06586, 150¡ 46' 8.4396,150.769,187,Eucalypt Woodland,Eucalyptus ebbaneoensis subsp. Ebbanoensis
34¡ 3' 57.114,-34.06586, 150¡ 46' 8.4396,150.769,187,Eucalypt Woodland,Eucalyptus websteriana subsp. Norsemanica
36¡ 26' 15.6114,-36.43767, 148¡ 19' 11.4234,148.3198,1857.3,Alpine,Celmisia longifolia
36¡ 27' 58.104,-36.46614, 148¡ 16' 11.928,148.27,2092.3,Alpine,Euphrasia collina subsp. Diversicolor
36¡ 27' 13.8954,-36.45386, 148¡ 15' 56.0514,148.2656,2150.7,Alpine,Leucochrysum albicans subsp. Alpina
36¡ 26' 15.6114,-36.43767, 148¡ 19' 11.4234,148.3198,1857.3,Alpine,"Acaena ""Species A"""
36¡ 26' 20.1474,-36.43893, 148¡ 19' 7.3632,148.3187,1864,Alpine,Plantago muelleri
36¡ 29' 29.6874,-36.49158, 148¡ 17' 6.792,148.2852,1950.2,Alpine,Aciphylla glacialis
36¡ 26' 15.6114,-36.43767, 148¡ 19' 11.4234,148.3198,1950.2,Alpine,Carpha nivicola
36¡ 26' 16.0434,-36.43779, 148¡ 19' 10.9914,148.3197,1857.8,Alpine,Chionochloa frigida 
36¡ 27' 20.0874,-36.45558, 148¡ 15' 44.7114,148.2624,2204.5,Alpine,Senecio pinnatifolius subsp. alpinus
36¡ 27' 24.3468,-36.45676, 148¡ 16' 4.6914,148.268,1998.4,Alpine,Oreomyrtus ciliata
36¡ 27' 24.3468,-36.45676, 148¡ 16' 4.6914,148.268,1854.2,Alpine,Richea continentis
36¡ 26' 15.6114,-36.43767, 148¡ 19' 11.4234,148.3198,1857.3,Alpine,Corondium scorpioides
36¡ 26' 15.6114,-36.43767, 148¡ 19' 11.4234,148.3198,1857.3,Alpine,Senecio linearifolius var. latifolius
36¡ 21' 4.7592,-36.35132, 148¡ 31' 5.0514,148.5181,1474,Eucalypt Woodland,Callistemon sieberi
36¡ 26' 6.468,-36.43513, 148¡ 31' 6.2754,148.5184,1475,Eucalypt Woodland,Hakea microcarpa
36¡ 20' 38.4,-36.344, 148¡ 32' 17.5914,148.5382,1394.9,Eucalypt Woodland,Acrothamnus hookeri
36¡ 26' 6.468,-36.43513, 148¡ 31' 6.2754,148.5184,1475,Eucalypt Woodland,Leptospermum myrtifolium
36¡ 21' 1.224,-36.35034, 148¡ 31' 12.648,148.5202,1464.6,Eucalypt Woodland,Ozothamnus hookeri
36¡ 20' 49.7394,-36.34715, 148¡ 31' 37.2354,148.527,1448.3,Eucalypt Woodland,Leptospermum grandifolium
17¡ 24.735,-17.41225, 145¡ 42.035,145.7006,NA,Rainforest,Breynia cernua
17¡ 24.955,-17.41592, 145¡ 42.000,145.7,NA,Rainforest,Neolitsea dealbata
17¡ 24.734,-17.41223, 145¡ 42.028,145.7005,NA,Rainforest,Triunia erythrocarpa
17¡ 24.898,-17.41497, 145¡ 42.032,145.7005,NA,Rainforest,Alpinia arctiflora
16¡ 37.506,-17.6251, 145¡18.705,145.3117,NA,Rainforest,Ganophyllum falcata
16¡ 37.407,-17.62345, 145¡18.614,145.3102,NA,Rainforest,Myrsine variabilis
17¡ 20.269,-17.33782, 145¡ 34.869,145.5812,NA,Rainforest,Ficus benjamina
17¡ 26.795,-17.44658, 145¡ 28.582,145.4764,NA,Rainforest,Symplocos wooroonooran
17¡ 27.837,-17.46395, 145¡ 28.724,145.4787,NA,Rainforest,Acronychia crassipetala
17¡ 27.319,-17.45532, 145¡ 27.862,145.4644,NA,Wet Sclerophyll Forest,Syzgium oleosum
17¡ 25.800,-17.43, 145¡ 24.158,145.4026,NA,Wet Sclerophyll Forest,Maytenus dispermus
17¡ 27.503,-17.42505, 145¡ 28.181,145.4697,NA,Wet Sclerophyll Forest,Alphitonia petrei
17¡ 27.503,-17.42505, 145¡ 28.181,145.4697,NA,Wet Sclerophyll Forest,Alpinia caerulea
17¡ 23.532,-17.3922, 145¡ 23.240,145.3873,NA,Wet Sclerophyll Forest,Syncarpia glomulifera
17¡ 22.099,-17.36832, 145¡ 18.766,145.3128,NA,Eucalypt Woodland,Grevillea glauca
17¡ 22.980,-17.383, 145¡ 22.714,145.3786,NA,Eucalypt Woodland,Eucalyptus shirleyi
17¡ 22.982,-17.38303, 145¡ 22.715,145.3786,NA,Eucalypt Woodland,Eucalyptus lockyeri
17¡ 23.480,-17.39133, 145¡ 22.553,145.3759,NA,Eucalypt Woodland,Acacia leptoloba
17¡ 22.687,-17.37812, 145¡ 15.178,145.253,NA,Eucalypt Woodland,Vachellia bidwillii
17¡ 23.480,-17.39133, 145¡ 22.553,145.3759,NA,Eucalypt Woodland,Callitris intratropica
17¡ 23.480,-17.39133, 145¡ 22.553,145.3759,NA,Eucalypt Woodland,Chamaecrista concinna
17¡ 22.922,-17.3832, 145¡ 15.457,145.2576,NA,Eucalypt Woodland,Eucalyptus cloeziana
