Species,Site,Photoperiod.Sensitivity ,Standard.Error,Family,Growth.Form,Seed.Mass,Latitude,Longitude,LAI,Alpine.Habitat
Leptospermum juniperinum,C.W,0.7342799,0.3974272,Myrtaceae,Shrub,0.000152,-34.0954,151.1601,1.366652966,Non-Alpine
Leptospermum laevigatum,C.W,0.3996777,0.2958284,Myrtaceae,Shrub,0.000304,-34.0954,151.1601,1.366652966,Non-Alpine
Leptospermum myrtifolium,K.N.P,15.44082,988.331,Myrtaceae,Shrub,0.000134,-36.4351,148.5184,1.899981022,Non-Alpine
Leptospermum polygafolium,R.N.P,0.475137,0.2898485,Myrtaceae,Shrub,0.000092,-34.1138,151.0664,3.366632938,Non-Alpine
Leptospermum polygalifolium subsp. montanum,T.S,0.9497087,0.4501062,Myrtaceae,Shrub,0.000064,-30.6017,152.3854,5.299946785,Non-Alpine
Leucochrysum albicans subsp. alpina,K.N.P.A,0.00000000000000143254,0.7002644,Asteraceae,Herb,0.00036,-36.4539,148.2656,0.833324969,Alpine
Linospadix monostachya.D,D.N.P,15.81459,3011.813,Arecaceae,Shrub,0.13774,-30.3658,152.7304,4.433289051,Non-Alpine
Linospadix monostachya.B,B.R.N.P,1.320091,0.5166864,Arecaceae,Shrub,0.169612,-28.3827,153.0607,4.999949932,Non-Alpine
Maytenus disperma,Q.L.D.S,14.10359,1384.786,Celastraceae,Tree,0.024954,-17.43,145.4027,3.033303022,Non-Alpine
Muehlenbeckia M. sp. Mt Norman,B.Rock,0.00000000000003549158,30187.3,Polygonaceae,Shrub,0.010374,-28.8527,152.0401,1.533318043,Non-Alpine
Myrsine howittiana,M.N.P,15.52219,4507.446,Primulaceae,Tree,0.02766,-28.8988,152.7401,4.999949932,Non-Alpine
Myrsine variabilis,Q.L.D,0.00000000000001220795,36815.2,Primulaceae,Shrub,0.040782,-16.6235,145.3102,5.466611862,Non-Alpine
Neolitsea dealbata ,Q.L.D,0.6222847,0.3742574,Lauraceae,Tree,0.20806,-17.416,145.7,5.133282185,Non-Alpine
Oreomyrrhis ciliata,K.N.P.A,0.6586022,0.6586022,Apiaceae,Herb,0.002936,-36.4568,148.268,1.133322001,Alpine
Ozothamnus hookeri,K.N.P,0.8123601,0.3766242,Asteraceae,Shrub,0.000154,-36.3503,148.5202,2.233310938,Non-Alpine
Parsonsia induplicata,B.R.N.P,0.00000000000003589292,51749.04,Apocynaceae,Climber,0.00189,-28.3827,153.0607,4.999949932,Non-Alpine
Petrophile pulchella,R.C,0.6112267,0.3156319,Proteaceae,Shrub,0.000259,-29.4718,152.8611,2.499974966,Non-Alpine
Plantago muelleri,K.N.P.A,1.028149,0.3428166,Plantaginaceae,Herb,0.000394,-36.4389,148.3187,2.133311987,Alpine
Plectranthus parviflorus,A.B.G,1.027461,0.4486343,Lamiaceae,Shrub,0.000262,-34.0659,150.769,1.466652036,Non-Alpine
Plectranthus suaveolens,B.Rock,0.7304851,0.5025841,Lamiaceae,Shrub,0.0002,-28.8527,152.0401,1.533318043,Non-Alpine
Pomax umbellata,B.Rock,1.55806,0.7429603,Rubiaceae,Shrub,0.000735,-28.8527,152.0401,1.533318043,Non-Alpine
Rhodanthe anthemoides,A.B.G,15.45384,3040.479,Asteraceae,Herb,0.000312,-34.0659,150.769,1.466652036,Non-Alpine
Richea continentis,K.N.P.A,14.34928,1604.309,Ericaceae,Shrub,0.000048,-36.4382,148.3228,1.799981952,Alpine
Senecio linearifolius var. latifolius,K.N.P.A,1.049963,0.6723045,Asteraceae,Herb,0.000318,-36.4377,148.3198,2.133311987,Alpine
Senecio pinnatifolius subsp. alpinus,K.N.P.A,0.25796,0.3027361,Asteraceae,Herb,0.000272,-36.4556,148.2624,0.499994993,Alpine
Solanum aviculare,B.R.N.P,15.67573,5060.097,Solanaceae,Shrub,0.000234,-28.3827,153.0607,4.999949932,Non-Alpine
Syncarpia glomulifera,Q.L.D.S,0.8377347,0.5421772,Myrtaceae,Tree,0.00031,-17.3922,145.3873,1.833315015,Non-Alpine
Symplocos wooroonooran,Q.L.D,0.4358605,0.3501155,Symplocaceae,Tree,0.035932,-17.4467,145.4763,5.26661396,Non-Alpine
Syzygium australe,T.N.P,0.000000000000006447533,57623.93,Myrtaceae,Tree,0.063789,-28.5207,152.7479,5.499945164,Non-Alpine
Syzygium crebrinerve,D.N.P,0.00000000000001485251,50230.11,Myrtaceae,Tree,0.13328,-30.3658,152.7304,4.433289051,Non-Alpine
Syzygium oleosum.B,B.R.N.P,0.00000000000001220795,36570.48,Myrtaceae,Tree,0.13962,-28.3827,153.0607,4.999949932,Non-Alpine
Syzygium oleosum.Q,Q.L.D.S,15.29531,3914.296,Myrtaceae,Tree,0.30793,-17.4553,145.4643,5.133282185,Non-Alpine
Tasmannia stipitata,T.S,0.841328,0.4578241,Winteraceae,Shrub,0.001154,-28.5207,152.7479,5.499945164,Non-Alpine
Trachymene incisa,B.Rock,0.4835222,0.3078058,Araliaceae,Herb,0.001072,-28.8527,152.0401,1.533318043,Non-Alpine
Triunia erythrocarpa,Q.L.D,1.141685,0.7801807,Proteaceae,Tree,3.08522,-17.4122,145.7005,5.26661396,Non-Alpine
Vachellia bidwillii,Q.L.D.W,0.000000001580631,52281.3,Fabaceae,Tree,0.207676,-17.3782,145.253,1.533318043,Non-Alpine
