Species,Site,PP.Sensitivity ,SE,Family,Growth.Form,Seed.Mass.Gram,Seed.Mass.Mg,Latitude,Longitude,LAI,Day.Official,PP.Sensitivity.Sign
Hakea dactyloides.RC,R.C,0.9110779,0.45544,Proteaceae,Shrub,0.0082,8.2,29.4718,152.8611,2.499974966,LD,0.9110779
Hakea microcarpa,K.N.P,0.458146,0.3449695,Proteaceae,Shrub,0.005398,5.398,36.4351,148.5184,1.899981022,SD,-0.458146
Hakea sericea,R.N.P,0.7889025,0.5906742,Proteaceae,Shrub,0.034365,34.365,34.1138,151.0664,3.366632938,LD,0.7889025
Isotoma anethifolia,B.Rock,1.168801,0.4848204,Campanulaceae,Herb,0.00002,0.02,28.8527,152.0401,1.533318043,SD,-1.168801
Kunzea ericoides,B.Rock,1.220262,0.3991742,Myrtaceae,Shrub,0.000038,0.038,28.8527,152.0401,1.533318043,LD,1.220262
Leptospermum arachnoides,C.N.R,0.5720843,0.3557452,Myrtaceae,Shrub,0.00008,0.08,29.8068,152.7778,2.666640043,SD,-0.5720843
Leptospermum grandifolium,K.N.P,0.9413067,0.408454,Myrtaceae,Shrub,0.000128,0.128,36.3471,148.527,2.033313036,SD,-0.9413067
Leptospermum gregarium,T.S,0.7268062,0.3377827,Myrtaceae,Shrub,0.000058,0.058,30.6017,152.3854,5.299946785,DN,0.7268062
Leptospermum juniperinum,C.W,0.6632194,0.3683226,Myrtaceae,Shrub,0.000152,0.152,34.0954,151.1601,1.366652966,SD,-0.6632194
Leptospermum laevigatum,C.W,0.3801294,0.2818013,Myrtaceae,Shrub,0.000304,0.304,34.0954,151.1601,1.366652966,LD,0.3801294
Leptospermum myrtifolium,K.N.P,3.238082,1.219649,Myrtaceae,Shrub,0.000134,0.134,36.4351,148.5184,1.899981022,SD,-3.238082
Leptospermum polygafolium,R.N.P,0.4524378,0.2794332,Myrtaceae,Shrub,0.000092,0.092,34.1138,151.0664,3.366632938,SD,-0.4524378
Leptospermum polygalifolium subsp. montanum,T.S,0.8032107,0.40602,Myrtaceae,Shrub,0.000064,0.064,30.6017,152.3854,5.299946785,DN,-0.8032107
Leucochrysum albicans subsp. alpina,K.N.P.A,1.27E-15,0.5595281,Asteraceae,Herb,0.00036,0.36,36.4539,148.2656,0.833324969,DN,1.27E-15
Linospadix monostachya.B,B.R.N.P,1.120672,0.4566843,Arecaceae,Shrub,0.169612,169.612,28.3827,153.0607,4.999949932,SD,-1.120672
Neolitsea dealbata ,Q.L.D,0.5782634,0.3520661,Lauraceae,Tree,0.20806,208.06,17.416,145.7,5.133282185,SD,-0.5782634
Oreomyrrhis ciliata,K.N.P.A,0.6288569,0.336875,Apiaceae,Herb,0.002936,2.936,36.4568,148.268,1.133322001,SD,-0.6288569
Ozothamnus hookeri,K.N.P,0.7618021,0.3577701,Asteraceae,Shrub,0.000154,0.154,36.3503,148.5202,2.233310938,LD,0.7618021
Petrophile pulchella,R.C,0.5587355,0.2966166,Proteaceae,Shrub,0.000259,0.259,29.4718,152.8611,2.499974966,LD,0.5587355
Plantago muelleri,K.N.P.A,0.9391066,0.3221487,Plantaginaceae,Herb,0.000394,0.394,36.4389,148.3187,2.133311987,LD,0.9391066
Plectranthus parviflorus,A.B.G,0.9387019,0.4202241,Lamiaceae,Shrub,0.000262,0.262,34.0659,150.7691,1.466652036,LD,0.9387019
Plectranthus suaveolens,B.Rock,0.6605354,0.4585542,Lamiaceae,Shrub,0.0002,0.2,28.8527,152.0401,1.533318043,SD,-0.6605354
Pomax umbellata,B.Rock,1.166694,0.5543927,Rubiaceae,Shrub,0.000735,0.735,28.8527,152.0401,1.533318043,SD,-1.166694
Rhodanthe anthemoides,A.B.G,1.935209,1.116725,Asteraceae,Herb,0.000312,0.312,34.0659,150.7691,1.466652036,SD,-1.935209
Senecio linearifolius var. latifolius,K.N.P.A,0.7831692,0.5372229,Asteraceae,Herb,0.000318,0.318,36.4377,148.3198,2.133311987,SD,-0.7831692
Senecio pinnatifolius subsp. alpinus,K.N.P.A,0.2440271,0.2883117,Asteraceae,Herb,0.000272,0.272,36.4556,148.2624,0.499994993,SD,-0.2440271
Syncarpia glomulifera,Q.L.D.S,0.6757611,0.457117,Myrtaceae,Tree,0.00031,0.31,17.3922,145.3873,1.833315015,SD,-0.6757611
Symplocos wooroonooran,Q.L.D,0.3763248,0.3238349,Symplocaceae,Tree,0.035932,35.932,17.4467,145.4763,5.26661396,DN,-0.3763248
Syzygium oleosum.Q,Q.L.D.S,1.399932,1.099984,Myrtaceae,Tree,0.30793,307.93,17.4553,145.4643,5.133282185,DN,1.399932
Tasmannia stipitata,T.S,0.7718721,0.4299249,Winteraceae,Shrub,0.001154,1.154,28.5207,152.7479,5.499945164,LD,0.7718721
Trachymene incisa,B.Rock,0.4371177,0.2894704,Araliaceae,Herb,0.001072,1.072,28.8527,152.0401,1.533318043,LD,0.4371177
Triunia erythrocarpa,Q.L.D,0.7834926,0.6079519,Proteaceae,Tree,3.08522,3085.22,17.4122,145.7005,5.26661396,SD,-0.7834926
Vachellia bidwillii,Q.L.D.W,1.22E-16,1.265395,Fabaceae,Tree,0.207676,207.676,17.3782,145.253,1.533318043,DN,-1.22E-16
